id;nom;description;lieu
1;bien que;drelin comme;également
2;en vérité éprouver;tordre;glouglou coin-coin rédaction
3;apprendre pin-pon;au-dessous détailler admirablement;de façon que
4;secouriste population du Québec;jeune enfant ça;sauf à
5;avant que aussitôt que;sauf brûler différer;à force de cot cot
6;secours chut personnel;aussitôt proche;au dépens de
7;à côté de étant donné que;avant que;juriste tant incognito
8;membre du personnel sympathique sage;traîner membre du personnel jusque;neutre
9;actionnaire;gens avant;pendant que
10;inventer de façon à ce que;en plus de;puisque
