id;compagnie;horaire;tarif;sieges_disponibles
1;guide contre trop;peu;19334.98;4483
2;de sorte que plus simple;tout à moins de si;31711.2;3345
3;badaboum certainement finir;de sorte que splendide;24769.23;10923
4;rédaction;cyan super camarade;23761.57;29074
5;conseil municipal pressentir;organiser;20034.92;4718
6;pendant que dominer;quoique après;2245.86;11775
7;tchou tchouu depuis;insérer entreprendre;17555.79;10990
8;en dépit de;quand renseigner;15680.88;12753
9;à cause de bien que;foule;19919.77;13018
10;gai à l'encontre de courir;oups de peur de trop;31070.39;32074
